0

Bricks,Crystals,Weapons

Builders,Magicians,Soldiers

AntWarrior,Weapons,20|5,0|b,-10
Dragon,Crystals,10,Weapons,20|20,0|b,-25
AssaultRifle,Weapons,20|3,0|b,-5
Archer,Weapons,25|6,0|b,-15
Wagon,Bricks,10|5,5|b,10,b,-10
Burglar,Crystals,10,Weapons,15|10,10|b,20,b,-20
AntBuilder,Bricks,7|0,5|b,20
Tower,Bricks,10|0,5|b,10
Fortress,Bricks,20|0,7|b,20
CrystalGenerator,Crystals,5|5,5|r,20,Crystals;
BrickGenerator,Crystals,5|2,2|r,20,Bricks;
WeaponsGenerator,Crystals,5|5,0|r,20,Weapons;
CrystalDestroyer,Crystals,5|5,0|r,-10,Crystals;
School,Bricks,5,Crystals,5|0,6|u,4,Builders;
Army,Crystals,5,Weapons,5|5,0|u,4,Soldiers;
DavidCopperfield,Crystals,10|7,7|u,4,Magicians;
Soothsayer,Crystals,30|5,5|u,3,Magicians;,u,3,Soldiers;,u,3,Builders;
ResourceMine,Crystals,20|0,10|r,10,Bricks;,r,10,Crystals;,r,10,Weapons;
MagicTrick,Crystals,5|5,5|s
Refiller,Crystals,10|0,6|f,2
CrystalStealer,Crystals,5|6,0|r,10,Crystals;,r,-10,Crystals;

Karel

5,17,1,0,17

30,0,100

Bricks,Builders
Crystals,Magicians
Weapons,Soldiers

Bricks,34
Crystals,34
Weapons,9

Builders,4
Magicians,4
Soldiers,4

Pepa

9,3,18,12,13

25,0,100

Bricks,Builders
Crystals,Magicians
Weapons,Soldiers

Bricks,34
Crystals,34
Weapons,14

Builders,4
Magicians,4
Soldiers,4

